Sample Number,1
Date & Time,2026-06-16 18:14:20.380679
Vopen (V),4.24
Ishort (A),16.8
Vmaxp (V),0.333
Imaxp (A),0.164
Pmax (W),0.05461200000000001
V (V),I (A),P (W)
0.422,0.1,0.0422
0.422,0.2,0.0844
0.422,0.3,0.1266
0.421,0.4,0.1684
0.421,0.5,0.2105
0.421,0.6,0.2526
0.421,0.7,0.2947
0.421,0.8,0.3368
0.421,1.0,0.421
0.421,1.1,0.4631
0.421,1.2,0.5052
0.421,1.3,0.5473
0.421,1.4,0.5894
0.421,1.5,0.6315
0.421,1.6,0.6736
0.42,1.7,0.714
0.42,1.9,0.798
0.42,2.0,0.84
0.42,2.1,0.882
0.42,2.2,0.924
0.42,2.3,0.966
0.42,2.4,1.008
0.42,2.5,1.05
0.42,2.6,1.092
0.42,2.8,1.176
0.421,2.9,1.2209
0.421,3.0,1.263
0.421,3.1,1.3051
0.42,3.2,1.344
0.42,3.3,1.386
0.42,3.4,1.428
0.421,3.5,1.4735
0.42,3.6,1.512
0.42,3.8,1.596
0.42,3.9,1.638
0.42,4.0,1.68
0.42,4.1,1.722
0.42,4.2,1.764
0.42,4.3,1.806
0.42,4.4,1.848
0.42,4.5,1.89
0.42,4.7,1.974
0.42,4.8,2.016
0.42,4.9,2.058
0.42,5.0,2.1
0.42,5.1,2.142
0.42,5.2,2.184
0.42,5.3,2.226
0.419,5.4,2.2626
0.418,5.6,2.3408
0.418,5.7,2.3826
0.417,5.8,2.4186
0.416,5.9,2.4544
0.416,6.0,2.496
0.416,6.1,2.5376
0.416,6.2,2.5792
0.415,6.3,2.6145
0.415,6.4,2.656
0.414,6.6,2.7324
0.413,6.7,2.7671
0.413,6.8,2.8084
0.412,6.9,2.8428
0.412,7.0,2.884
0.411,7.1,2.9181
0.411,7.2,2.9592
0.41,7.3,2.993
0.409,7.5,3.0675
0.408,7.6,3.1008
0.408,7.7,3.1416
0.408,7.8,3.1824
0.407,7.9,3.2153
0.406,8.0,3.248
0.407,8.1,3.2967
0.406,8.2,3.3292
0.404,8.4,3.3936
0.404,8.5,3.434
0.403,8.6,3.4658
0.402,8.7,3.4974
0.402,8.8,3.5376
0.401,8.9,3.5689
0.401,9.0,3.609
0.4,9.1,3.64
0.4,9.2,3.68
0.399,9.4,3.7506
0.398,9.5,3.781
0.398,9.6,3.8208
0.397,9.7,3.8509
0.396,9.8,3.8808
0.396,9.9,3.9204
0.395,10.0,3.95
0.394,10.1,3.9794
0.392,10.3,4.0376
0.392,10.4,4.0768
0.392,10.5,4.116
0.391,10.6,4.1446
0.39,10.7,4.173
0.39,10.8,4.212
0.389,10.9,4.2401
0.388,11.0,4.268
0.386,11.2,4.3232
0.385,11.3,4.3505
0.385,11.4,4.389
0.384,11.5,4.416
0.384,11.6,4.4544
0.383,11.7,4.4811
0.382,11.8,4.5076
0.382,11.9,4.5458
0.381,12.0,4.572
0.379,12.2,4.6238
0.378,12.3,4.6494
0.378,12.4,4.6872
0.376,12.5,4.7
0.375,12.6,4.725
0.375,12.7,4.7625
0.374,12.8,4.7872
0.373,12.9,4.8117
0.372,13.1,4.8732
0.37,13.2,4.884
0.37,13.3,4.921
0.368,13.4,4.9312
0.368,13.5,4.968
0.366,13.6,4.9776
0.366,13.7,5.0142
0.364,13.8,5.0232
0.362,14.0,5.068
0.362,14.1,5.1042
0.36,14.2,5.112
0.359,14.3,5.1337
0.359,14.4,5.1696
0.357,14.5,5.1765
0.356,14.6,5.1976
0.355,14.7,5.2185
0.355,14.8,5.254
0.352,15.0,5.28
0.35,15.1,5.285
0.349,15.2,5.3048
0.347,15.3,5.3091
0.346,15.4,5.3284
0.344,15.5,5.332
0.343,15.6,5.3508
0.341,15.7,5.3537
0.339,15.9,5.3901
0.337,16.0,5.392
0.336,16.1,5.4096
0.335,16.2,5.427
0.334,16.3,5.4442
0.333,16.4,5.4612
0.33,16.5,5.445
0.328,16.6,5.4448
0.0,16.8,0.0
