Sample Number,1
Date & Time,26-6-16 18:53:28
Vopen (V),0.01
Ishort (A),666.2
Vmaxp (V),1
Imaxp (A),1
Pmax (W),1
V (V),I (A),P (W)
0.391,0.0,0.0
0.392,0.0,0.0
0.391,0.0,0.0
0.391,0.1,0.0391
0.391,0.1,0.0391
0.391,0.1,0.0391
0.391,0.1,0.0391
0.391,0.2,0.0782
0.391,0.2,0.0782
0.391,0.2,0.0782
0.391,0.2,0.0782
0.391,0.3,0.1173
0.391,0.3,0.1173
0.391,0.3,0.1173
0.391,0.3,0.1173
0.391,0.4,0.1564
0.391,0.4,0.1564
0.391,0.4,0.1564
0.391,0.5,0.1955
0.391,0.5,0.1955
0.391,0.5,0.1955
0.391,0.5,0.1955
0.391,0.6,0.2346
0.391,0.6,0.2346
0.391,0.6,0.2346
0.392,0.6,0.2352
0.392,0.7,0.2744
0.391,0.7,0.2737
0.391,0.7,0.2737
0.391,0.7,0.2737
0.392,0.8,0.3136
0.391,0.8,0.3128
0.391,0.8,0.3128
0.391,0.8,0.3128
0.391,0.9,0.3519
0.391,0.9,0.3519
0.392,0.9,0.3528
0.391,1.0,0.391
0.391,1.0,0.391
0.391,1.0,0.391
0.391,1.0,0.391
0.391,1.1,0.4301
0.391,1.1,0.4301
0.391,1.1,0.4301
0.392,1.1,0.4312
0.391,1.2,0.4692
0.391,1.2,0.4692
0.392,1.2,0.4704
0.391,1.2,0.4692
0.391,1.3,0.5083
0.392,1.3,0.5096
0.392,1.3,0.5096
0.391,1.3,0.5083
0.391,1.4,0.5474
0.391,1.4,0.5474
0.391,1.4,0.5474
0.391,1.5,0.5865
0.391,1.5,0.5865
0.392,1.5,0.588
0.392,1.5,0.588
0.391,1.6,0.6256
0.392,1.6,0.6272
0.392,1.6,0.6272
0.391,1.6,0.6256
0.391,1.7,0.6647
0.391,1.7,0.6647
0.391,1.7,0.6647
0.391,1.7,0.6647
0.392,1.8,0.7056
0.391,1.8,0.7038
0.391,1.8,0.7038
0.391,1.8,0.7038
0.392,1.9,0.7448
0.391,1.9,0.7429
0.391,1.9,0.7429
0.391,2.0,0.782
0.391,2.0,0.782
0.392,2.0,0.784
0.391,2.0,0.782
0.392,2.1,0.8232
0.391,2.1,0.8211
0.391,2.1,0.8211
0.391,2.1,0.8211
0.392,2.2,0.8624
0.391,2.2,0.8602
0.391,2.2,0.8602
0.392,2.2,0.8624
0.391,2.3,0.8993
0.391,2.3,0.8993
0.392,2.3,0.9016
0.391,2.3,0.8993
0.391,2.4,0.9384
0.391,2.4,0.9384
0.39,2.4,0.936
0.39,2.5,0.975
0.39,2.5,0.975
0.389,2.5,0.9725
0.389,2.5,0.9725
0.388,2.6,1.0088
0.388,2.6,1.0088
0.388,2.6,1.0088
0.388,2.6,1.0088
0.387,2.7,1.0449
0.387,2.7,1.0449
0.387,2.7,1.0449
0.386,2.7,1.0422
0.385,2.8,1.078
0.385,2.8,1.078
0.384,2.8,1.0752
0.385,2.8,1.078
0.384,2.9,1.1136
0.383,2.9,1.1107
0.384,2.9,1.1136
0.383,3.0,1.149
0.383,3.0,1.149
0.382,3.0,1.146
0.382,3.0,1.146
0.382,3.1,1.1842
0.382,3.1,1.1842
0.381,3.1,1.1811
0.381,3.1,1.1811
0.38,3.2,1.216
0.38,3.2,1.216
0.38,3.2,1.216
0.379,3.2,1.2128
0.379,3.3,1.2507
0.379,3.3,1.2507
0.377,3.3,1.2441
0.378,3.3,1.2474
0.377,3.4,1.2818
0.377,3.4,1.2818
0.376,3.4,1.2784
0.376,3.5,1.316
0.376,3.5,1.316
0.375,3.5,1.3125
0.375,3.5,1.3125
0.374,3.6,1.3464
0.374,3.6,1.3464
0.373,3.6,1.3428
0.373,3.6,1.3428
0.372,3.7,1.3764
0.372,3.7,1.3764
0.372,3.7,1.3764
0.372,3.7,1.3764
0.371,3.8,1.4098
0.371,3.8,1.4098
0.37,3.8,1.406
0.369,3.8,1.4022
0.369,3.9,1.4391
0.0,3.9,0.0
0.039,39.2,1.5288
37.893,0.0,0.0
2.0,6553.5,13107.0
65.535,6553.5,429483.6225
65.535,6553.5,429483.6225
65.535,6553.5,429483.6225
