Sample Number,1
Channel Number,1
Date & Time,26-6-17 12:17:59
Vopen (V),0.01
Ishort (A),666.2
Vmaxp (V),1
Imaxp (A),1
Pmax (W),1
V (V),I (A),P (W)
0.41,0.0,0.0
0.41,0.0,0.0
0.41,0.2,0.041
0.41,0.2,0.041
0.41,0.4,0.082
0.41,0.4,0.082
0.41,0.4,0.082
0.41,0.6,0.123
0.41,0.6,0.123
0.41,0.8,0.164
0.41,0.8,0.164
0.41,1.0,0.205
0.41,1.0,0.205
0.41,1.0,0.205
0.41,1.2,0.246
0.41,1.2,0.246
0.41,1.4,0.287
0.41,1.4,0.287
0.41,1.6,0.328
0.41,1.6,0.328
0.41,1.6,0.328
0.41,1.8,0.369
0.41,1.8,0.369
0.41,2.0,0.41
0.41,2.0,0.41
0.41,2.2,0.451
0.41,2.2,0.451
0.41,2.2,0.451
0.41,2.4,0.492
0.41,2.4,0.492
0.41,2.6,0.533
0.41,2.6,0.533
0.41,2.6,0.533
0.41,2.8,0.574
0.41,2.8,0.574
0.41,3.0,0.615
0.41,3.0,0.615
0.41,3.2,0.656
0.41,3.2,0.656
0.41,3.2,0.656
0.41,3.4,0.697
0.41,3.4,0.697
0.41,3.6,0.738
0.41,3.6,0.738
0.41,3.8,0.779
0.41,3.8,0.779
0.41,3.8,0.779
0.41,4.0,0.82
0.41,4.0,0.82
0.41,4.2,0.861
0.41,4.2,0.861
0.41,4.4,0.902
0.41,4.4,0.902
0.41,4.4,0.902
0.408,4.6,0.9384
0.406,4.6,0.9338
0.405,4.8,0.972
0.404,4.8,0.9696
0.404,4.8,0.9696
0.402,5.0,1.005
0.402,5.0,1.005
0.402,5.2,1.0452
0.402,5.2,1.0452
0.402,5.4,1.0854
0.402,5.4,1.0854
0.402,5.4,1.0854
0.402,5.6,1.1256
0.401,5.6,1.1228
0.4,5.8,1.16
0.399,5.8,1.1571
0.399,6.0,1.197
0.399,6.0,1.197
0.397,6.0,1.191
0.397,6.2,1.2307
0.396,6.2,1.2276
0.394,6.4,1.2608
0.393,6.4,1.2576
0.391,6.6,1.2903
0.391,6.6,1.2903
0.39,6.6,1.287
0.389,6.8,1.3226
0.388,6.8,1.3192
0.387,7.0,1.3545
0.385,7.0,1.3475
0.386,7.0,1.351
0.384,7.2,1.3824
0.383,7.2,1.3788
0.383,7.4,1.4171
0.382,7.4,1.4134
0.382,7.6,1.4516
0.382,7.6,1.4516
0.382,7.6,1.4516
0.382,7.8,1.4898
0.381,7.8,1.4859
0.381,8.0,1.524
0.381,8.0,1.524
0.381,8.2,1.5621
0.381,8.2,1.5621
0.381,8.2,1.5621
0.381,8.4,1.6002
0.381,8.4,1.6002
0.381,8.6,1.6383
0.38,8.6,1.634
0.38,8.8,1.672
0.38,8.8,1.672
0.379,8.8,1.6676
0.378,9.0,1.701
0.378,9.0,1.701
0.378,9.2,1.7388
0.376,9.2,1.7296
0.376,9.2,1.7296
0.375,9.4,1.7625
0.375,9.4,1.7625
0.374,9.6,1.7952
0.374,9.6,1.7952
0.373,9.8,1.8277
0.373,9.8,1.8277
0.374,9.8,1.8326
0.374,10.0,1.87
0.374,10.0,1.87
0.373,10.2,1.9023
0.374,10.2,1.9074
0.373,10.4,1.9396
0.374,10.4,1.9448
0.373,10.4,1.9396
0.373,10.6,1.9769
0.373,10.6,1.9769
0.372,10.8,2.0088
0.371,10.8,2.0034
0.371,11.0,2.0405
0.371,11.0,2.0405
0.37,11.0,2.035
0.368,11.2,2.0608
0.368,11.2,2.0608
0.367,11.4,2.0919
0.367,11.4,2.0919
0.367,11.4,2.0919
0.366,11.6,2.1228
0.365,11.6,2.117
0.364,11.8,2.1476
0.363,11.8,2.1417
0.362,12.0,2.172
0.361,12.0,2.166
0.361,12.0,2.166
0.36,12.2,2.196
0.359,12.2,2.1899
0.357,12.4,2.2134
0.356,12.4,2.2072
0.356,12.6,2.2428
0.0,12.6,0.0
