Sample Number,1
Date & Time,26-6-17 11:54:14
Vopen (V),0.01
Ishort (A),666.2
Vmaxp (V),1
Imaxp (A),1
Pmax (W),1
V (V),I (A),P (W)
0.416,0.0,0.0
0.416,0.0,0.0
0.416,0.2,0.0416
0.416,0.2,0.0416
0.416,0.4,0.0832
0.416,0.4,0.0832
0.416,0.6,0.1248
0.416,0.6,0.1248
0.416,0.8,0.1664
0.416,0.8,0.1664
0.416,1.0,0.208
0.416,1.0,0.208
0.416,1.2,0.2496
0.416,1.2,0.2496
0.416,1.4,0.2912
0.416,1.4,0.2912
0.416,1.4,0.2912
0.416,1.6,0.3328
0.416,1.6,0.3328
0.416,1.8,0.3744
0.416,1.8,0.3744
0.416,2.0,0.416
0.416,2.0,0.416
0.416,2.2,0.4576
0.416,2.2,0.4576
0.416,2.4,0.4992
0.416,2.4,0.4992
0.416,2.6,0.5408
0.416,2.6,0.5408
0.416,2.8,0.5824
0.416,2.8,0.5824
0.416,2.8,0.5824
0.416,3.0,0.624
0.416,3.0,0.624
0.416,3.2,0.6656
0.416,3.2,0.6656
0.416,3.4,0.7072
0.416,3.4,0.7072
0.416,3.6,0.7488
0.416,3.6,0.7488
0.416,3.8,0.7904
0.416,3.8,0.7904
0.416,4.0,0.832
0.416,4.0,0.832
0.416,4.2,0.8736
0.416,4.2,0.8736
0.416,4.2,0.8736
0.416,4.4,0.9152
0.416,4.4,0.9152
0.416,4.6,0.9568
0.416,4.6,0.9568
0.416,4.8,0.9984
0.416,4.8,0.9984
0.416,5.0,1.04
0.416,5.0,1.04
0.416,5.2,1.0816
0.414,5.2,1.0764
0.413,5.4,1.1151
0.413,5.4,1.1151
0.412,5.6,1.1536
0.412,5.6,1.1536
0.412,5.6,1.1536
0.411,5.8,1.1919
0.411,5.8,1.1919
0.411,6.0,1.233
0.41,6.0,1.23
0.41,6.2,1.271
0.409,6.2,1.2679
0.409,6.4,1.3088
0.408,6.4,1.3056
0.408,6.6,1.3464
0.408,6.6,1.3464
0.407,6.8,1.3838
0.407,6.8,1.3838
0.407,7.0,1.4245
0.406,7.0,1.421
0.406,7.0,1.421
0.405,7.2,1.458
0.405,7.2,1.458
0.404,7.4,1.4948
0.404,7.4,1.4948
0.402,7.6,1.5276
0.403,7.6,1.5314
0.401,7.8,1.5639
0.401,7.8,1.5639
0.401,8.0,1.604
0.4,8.0,1.6
0.4,8.2,1.64
0.4,8.2,1.64
0.399,8.4,1.6758
0.399,8.4,1.6758
0.399,8.4,1.6758
0.398,8.6,1.7114
0.398,8.6,1.7114
0.397,8.8,1.7468
0.396,8.8,1.7424
0.395,9.0,1.7775
0.394,9.0,1.773
0.393,9.2,1.8078
0.393,9.2,1.8078
0.392,9.4,1.8424
0.392,9.4,1.8424
0.391,9.6,1.8768
0.391,9.6,1.8768
0.39,9.8,1.911
0.391,9.8,1.9159
0.39,9.8,1.911
0.389,10.0,1.945
0.388,10.0,1.94
0.388,10.2,1.9788
0.388,10.2,1.9788
0.387,10.4,2.0124
0.385,10.4,2.002
0.385,10.6,2.0405
0.384,10.6,2.0352
0.383,10.8,2.0682
0.383,10.8,2.0682
0.382,11.0,2.101
0.382,11.0,2.101
0.38,11.2,2.128
0.381,11.2,2.1336
0.38,11.2,2.128
0.38,11.4,2.166
0.378,11.4,2.1546
0.377,11.6,2.1866
0.377,11.6,2.1866
0.376,11.8,2.2184
0.375,11.8,2.2125
0.375,12.0,2.25
0.374,12.0,2.244
0.373,12.2,2.2753
0.372,12.2,2.2692
0.372,12.4,2.3064
0.371,12.4,2.3002
0.37,12.6,2.331
0.37,12.6,2.331
0.369,12.6,2.3247
0.367,12.8,2.3488
0.366,12.8,2.3424
0.365,13.0,2.3725
0.364,13.0,2.366
0.363,13.2,2.3958
0.363,13.2,2.3958
0.362,13.4,2.4254
0.362,13.4,2.4254
0.36,13.6,2.448
0.359,13.6,2.4412
0.357,13.8,2.4633
0.356,13.8,2.4564
0.0,14.0,0.0
