Sample Number,1
Date & Time,2026-06-17 12:05:26.284144
Vopen (V),4.1
Ishort (A),12.5
Vmaxp (V),0.355
Imaxp (A),0.124
Pmax (W),0.04402
V (V),I (A),P (W)
0.409,0.0,0.0
0.409,0.1,0.0409
0.409,0.2,0.0818
0.409,0.3,0.1227
0.409,0.4,0.1636
0.409,0.5,0.2045
0.409,0.5,0.2045
0.409,0.6,0.2454
0.408,0.7,0.2856
0.408,0.8,0.3264
0.408,0.9,0.3672
0.408,1.0,0.408
0.408,1.0,0.408
0.408,1.1,0.4488
0.408,1.2,0.4896
0.408,1.3,0.5304
0.408,1.4,0.5712
0.408,1.5,0.612
0.408,1.5,0.612
0.408,1.6,0.6528
0.408,1.7,0.6936
0.408,1.8,0.7344
0.408,1.9,0.7752
0.408,2.0,0.816
0.408,2.0,0.816
0.408,2.1,0.8568
0.408,2.2,0.8976
0.408,2.3,0.9384
0.408,2.4,0.9792
0.408,2.5,1.02
0.408,2.5,1.02
0.408,2.6,1.0608
0.408,2.7,1.1016
0.408,2.8,1.1424
0.408,2.9,1.1832
0.408,3.0,1.224
0.408,3.0,1.224
0.408,3.1,1.2648
0.408,3.2,1.3056
0.408,3.3,1.3464
0.408,3.4,1.3872
0.408,3.5,1.428
0.408,3.5,1.428
0.408,3.6,1.4688
0.408,3.7,1.5096
0.408,3.8,1.5504
0.408,3.9,1.5912
0.408,4.0,1.632
0.408,4.0,1.632
0.408,4.1,1.6728
0.408,4.2,1.7136
0.408,4.3,1.7544
0.408,4.4,1.7952
0.408,4.5,1.836
0.408,4.5,1.836
0.408,4.6,1.8768
0.408,4.7,1.9176
0.408,4.8,1.9584
0.408,4.9,1.9992
0.408,5.0,2.04
0.407,5.0,2.035
0.406,5.1,2.0706
0.406,5.2,2.1112
0.405,5.3,2.1465
0.405,5.4,2.187
0.404,5.5,2.222
0.404,5.5,2.222
0.403,5.6,2.2568
0.403,5.7,2.2971
0.403,5.8,2.3374
0.402,5.9,2.3718
0.401,6.0,2.406
0.401,6.0,2.406
0.401,6.1,2.4461
0.4,6.2,2.48
0.4,6.3,2.52
0.399,6.4,2.5536
0.399,6.5,2.5935
0.399,6.5,2.5935
0.399,6.6,2.6334
0.398,6.7,2.6666
0.397,6.8,2.6996
0.397,6.9,2.7393
0.397,7.0,2.779
0.396,7.0,2.772
0.396,7.1,2.8116
0.395,7.2,2.844
0.394,7.3,2.8762
0.394,7.4,2.9156
0.394,7.5,2.955
0.393,7.5,2.9475
0.392,7.6,2.9792
0.391,7.7,3.0107
0.391,7.8,3.0498
0.391,7.9,3.0889
0.391,8.0,3.128
0.39,8.0,3.12
0.39,8.1,3.159
0.389,8.2,3.1898
0.389,8.3,3.2287
0.388,8.4,3.2592
0.387,8.5,3.2895
0.387,8.5,3.2895
0.387,8.6,3.3282
0.386,8.7,3.3582
0.385,8.8,3.388
0.384,8.9,3.4176
0.383,9.0,3.447
0.383,9.0,3.447
0.383,9.1,3.4853
0.382,9.2,3.5144
0.381,9.3,3.5433
0.381,9.4,3.5814
0.38,9.5,3.61
0.38,9.5,3.61
0.38,9.6,3.648
0.378,9.7,3.6666
0.378,9.8,3.7044
0.377,9.9,3.7323
0.377,10.0,3.77
0.376,10.0,3.76
0.376,10.1,3.7976
0.374,10.2,3.8148
0.374,10.3,3.8522
0.373,10.4,3.8792
0.373,10.5,3.9165
0.373,10.5,3.9165
0.371,10.6,3.9326
0.371,10.7,3.9697
0.371,10.8,4.0068
0.369,10.9,4.0221
0.368,11.0,4.048
0.368,11.0,4.048
0.367,11.1,4.0737
0.366,11.2,4.0992
0.365,11.3,4.1245
0.365,11.4,4.161
0.364,11.5,4.186
0.364,11.5,4.186
0.363,11.6,4.2108
0.362,11.7,4.2354
0.361,11.8,4.2598
0.36,11.9,4.284
0.359,12.0,4.308
0.359,12.0,4.308
0.358,12.1,4.3318
0.356,12.2,4.3432
0.356,12.3,4.3788
0.355,12.4,4.402
0.0,12.5,0.0
