Sample Number,1
Channel Number,1
Date & Time,26-6-17 12:8:28
Vopen (V),0.01
Ishort (A),666.2
Vmaxp (V),1
Imaxp (A),1
Pmax (W),1
V (V),I (A),P (W)
0.408,0.0,0.0
0.408,0.0,0.0
0.409,0.2,0.0409
0.408,0.2,0.0408
0.408,0.4,0.0816
0.409,0.4,0.0818
0.408,0.4,0.0816
0.408,0.6,0.1224
0.409,0.6,0.1227
0.409,0.8,0.1636
0.408,0.8,0.1632
0.408,0.8,0.1632
0.409,1.0,0.2045
0.409,1.0,0.2045
0.408,1.2,0.2448
0.408,1.2,0.2448
0.408,1.4,0.2856
0.407,1.4,0.2849
0.407,1.4,0.2849
0.406,1.6,0.3248
0.406,1.6,0.3248
0.406,1.8,0.3654
0.406,1.8,0.3654
0.406,1.8,0.3654
0.406,2.0,0.406
0.406,2.0,0.406
0.406,2.2,0.4466
0.406,2.2,0.4466
0.406,2.2,0.4466
0.406,2.4,0.4872
0.407,2.4,0.4884
0.406,2.6,0.5278
0.406,2.6,0.5278
0.407,2.8,0.5698
0.407,2.8,0.5698
0.407,2.8,0.5698
0.407,3.0,0.6105
0.407,3.0,0.6105
0.407,3.2,0.6512
0.407,3.2,0.6512
0.407,3.2,0.6512
0.407,3.4,0.6919
0.407,3.4,0.6919
0.407,3.6,0.7326
0.407,3.6,0.7326
0.407,3.8,0.7733
0.407,3.8,0.7733
0.407,3.8,0.7733
0.408,4.0,0.816
0.408,4.0,0.816
0.408,4.2,0.8568
0.408,4.2,0.8568
0.408,4.2,0.8568
0.408,4.4,0.8976
0.408,4.4,0.8976
0.408,4.6,0.9384
0.408,4.6,0.9384
0.408,4.6,0.9384
0.408,4.8,0.9792
0.408,4.8,0.9792
0.408,5.0,1.02
0.406,5.0,1.015
0.406,5.2,1.0556
0.406,5.2,1.0556
0.405,5.2,1.053
0.405,5.4,1.0935
0.405,5.4,1.0935
0.404,5.6,1.1312
0.403,5.6,1.1284
0.403,5.6,1.1284
0.403,5.8,1.1687
0.402,5.8,1.1658
0.402,6.0,1.206
0.401,6.0,1.203
0.401,6.2,1.2431
0.401,6.2,1.2431
0.401,6.2,1.2431
0.4,6.4,1.28
0.4,6.4,1.28
0.399,6.6,1.3167
0.399,6.6,1.3167
0.398,6.6,1.3134
0.398,6.8,1.3532
0.397,6.8,1.3498
0.397,7.0,1.3895
0.397,7.0,1.3895
0.396,7.0,1.386
0.396,7.2,1.4256
0.395,7.2,1.422
0.394,7.4,1.4578
0.394,7.4,1.4578
0.393,7.6,1.4934
0.394,7.6,1.4972
0.393,7.6,1.4934
0.392,7.8,1.5288
0.391,7.8,1.5249
0.391,8.0,1.564
0.39,8.0,1.56
0.39,8.0,1.56
0.39,8.2,1.599
0.389,8.2,1.5949
0.388,8.4,1.6296
0.388,8.4,1.6296
0.388,8.4,1.6296
0.387,8.6,1.6641
0.387,8.6,1.6641
0.386,8.8,1.6984
0.385,8.8,1.694
0.384,9.0,1.728
0.384,9.0,1.728
0.384,9.0,1.728
0.383,9.2,1.7618
0.382,9.2,1.7572
0.382,9.4,1.7954
0.381,9.4,1.7907
0.381,9.4,1.7907
0.381,9.6,1.8288
0.379,9.6,1.8192
0.379,9.8,1.8571
0.378,9.8,1.8522
0.378,10.0,1.89
0.377,10.0,1.885
0.377,10.0,1.885
0.376,10.2,1.9176
0.375,10.2,1.9125
0.375,10.4,1.95
0.374,10.4,1.9448
0.374,10.4,1.9448
0.373,10.6,1.9769
0.372,10.6,1.9716
0.371,10.8,2.0034
0.37,10.8,1.998
0.371,10.8,2.0034
0.37,11.0,2.035
0.368,11.0,2.024
0.367,11.2,2.0552
0.366,11.2,2.0496
0.365,11.4,2.0805
0.365,11.4,2.0805
0.364,11.4,2.0748
0.363,11.6,2.1054
0.362,11.6,2.0996
0.362,11.8,2.1358
0.361,11.8,2.1299
0.361,11.8,2.1299
0.361,12.0,2.166
0.36,12.0,2.16
0.358,12.2,2.1838
0.357,12.2,2.1777
0.0,12.4,0.0
