Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:24:37.141082
Vopen (V),0.581
Ishort (A),32.7
Vmaxp (V),0.527
Imaxp (A),32.4
Pmax (W),17.0748
V (V),I (A),P (W)
0.58,0.2,0.116
0.581,0.4,0.2324
0.581,0.6,0.3486
0.581,0.8,0.4648
0.581,1.0,0.581
0.581,1.3,0.7553
0.581,1.5,0.8715
0.581,1.7,0.9877
0.581,1.9,1.1039
0.581,2.1,1.2201
0.581,2.3,1.3363
0.581,2.6,1.5106
0.581,2.8,1.6268
0.581,3.0,1.743
0.581,3.2,1.8592
0.581,3.4,1.9754
0.581,3.7,2.1497
0.581,3.9,2.2659
0.581,4.1,2.3821
0.581,4.3,2.4983
0.581,4.5,2.6145
0.581,4.7,2.7307
0.582,5.0,2.91
0.581,5.2,3.0212
0.581,5.4,3.1374
0.581,5.6,3.2536
0.581,5.8,3.3698
0.58,6.1,3.538
0.58,6.3,3.654
0.58,6.5,3.77
0.58,6.7,3.886
0.58,6.9,4.002
0.579,7.1,4.1109
0.579,7.4,4.2846
0.579,7.6,4.4004
0.579,7.8,4.5162
0.578,8.0,4.624
0.578,8.2,4.7396
0.578,8.5,4.913
0.578,8.7,5.0286
0.577,8.9,5.1353
0.577,9.1,5.2507
0.577,9.3,5.3661
0.577,9.5,5.4815
0.577,9.8,5.6546
0.576,10.0,5.76
0.576,10.2,5.8752
0.576,10.4,5.9904
0.576,10.6,6.1056
0.575,10.9,6.2675
0.575,11.1,6.3825
0.575,11.3,6.4975
0.575,11.5,6.6125
0.575,11.7,6.7275
0.574,11.9,6.8306
0.574,12.2,7.0028
0.574,12.4,7.1176
0.574,12.6,7.2324
0.573,12.8,7.3344
0.573,13.0,7.449
0.573,13.2,7.5636
0.573,13.5,7.7355
0.573,13.7,7.8501
0.572,13.9,7.9508
0.572,14.1,8.0652
0.572,14.3,8.1796
0.571,14.6,8.3366
0.571,14.8,8.4508
0.571,15.0,8.565
0.571,15.2,8.6792
0.57,15.4,8.778
0.57,15.6,8.892
0.569,15.9,9.0471
0.569,16.1,9.1609
0.569,16.3,9.2747
0.568,16.5,9.372
0.568,16.7,9.4856
0.567,17.0,9.639
0.567,17.2,9.7524
0.567,17.4,9.8658
0.567,17.6,9.9792
0.566,17.8,10.0748
0.566,18.0,10.188
0.566,18.3,10.3578
0.565,18.5,10.4525
0.565,18.7,10.5655
0.565,18.9,10.6785
0.565,19.1,10.7915
0.564,19.4,10.9416
0.564,19.6,11.0544
0.564,19.8,11.1672
0.563,20.0,11.26
0.563,20.2,11.3726
0.563,20.4,11.4852
0.562,20.7,11.6334
0.562,20.9,11.7458
0.561,21.1,11.8371
0.561,21.3,11.9493
0.561,21.5,12.0615
0.56,21.8,12.208
0.56,22.0,12.32
0.559,22.2,12.4098
0.559,22.4,12.5216
0.558,22.6,12.6108
0.558,22.8,12.7224
0.557,23.1,12.8667
0.557,23.3,12.9781
0.556,23.5,13.066
0.556,23.7,13.1772
0.556,23.9,13.2884
0.555,24.1,13.3755
0.555,24.4,13.542
0.554,24.6,13.6284
0.554,24.8,13.7392
0.554,25.0,13.85
0.553,25.2,13.9356
0.553,25.5,14.1015
0.552,25.7,14.1864
0.551,25.9,14.2709
0.55,26.1,14.355
0.55,26.3,14.465
0.549,26.5,14.5485
0.548,26.8,14.6864
0.548,27.0,14.796
0.547,27.2,14.8784
0.547,27.4,14.9878
0.546,27.6,15.0696
0.545,27.9,15.2055
0.545,28.1,15.3145
0.544,28.3,15.3952
0.543,28.5,15.4755
0.543,28.7,15.5841
0.542,28.9,15.6638
0.541,29.2,15.7972
0.54,29.4,15.876
0.539,29.6,15.9544
0.539,29.8,16.0622
0.538,30.0,16.14
0.537,30.3,16.2711
0.536,30.5,16.348
0.535,30.7,16.4245
0.535,30.9,16.5315
0.533,31.1,16.5763
0.533,31.3,16.6829
0.531,31.6,16.7796
0.53,31.8,16.854
0.529,32.0,16.928
0.528,32.2,17.0016
0.527,32.4,17.0748
0.0,32.7,0.0
END OF SAMPLE

Sample Number,2,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:25:04.692298
Vopen (V),0.583
Ishort (A),42.8
Vmaxp (V),0.498
Imaxp (A),42.5
Pmax (W),21.165
V (V),I (A),P (W)
0.587,0.2,0.1174
0.588,0.5,0.294
0.588,0.8,0.4704
0.589,1.1,0.6479
0.588,1.4,0.8232
0.589,1.7,1.0013
0.589,1.9,1.1191
0.589,2.2,1.2958
0.589,2.5,1.4725
0.589,2.8,1.6492
0.589,3.1,1.8259
0.589,3.4,2.0026
0.589,3.7,2.1793
0.589,3.9,2.2971
0.589,4.2,2.4738
0.589,4.5,2.6505
0.589,4.8,2.8272
0.589,5.1,3.0039
0.589,5.4,3.1806
0.588,5.7,3.3516
0.588,5.9,3.4692
0.588,6.2,3.6456
0.587,6.5,3.8155
0.587,6.8,3.9916
0.587,7.1,4.1677
0.587,7.4,4.3438
0.586,7.7,4.5122
0.586,7.9,4.6294
0.586,8.2,4.8052
0.586,8.5,4.981
0.585,8.8,5.148
0.585,9.1,5.3235
0.585,9.4,5.499
0.584,9.7,5.6648
0.584,9.9,5.7816
0.584,10.2,5.9568
0.584,10.5,6.132
0.584,10.8,6.3072
0.584,11.1,6.4824
0.583,11.4,6.6462
0.583,11.6,6.7628
0.583,11.9,6.9377
0.583,12.2,7.1126
0.583,12.5,7.2875
0.582,12.8,7.4496
0.582,13.1,7.6242
0.582,13.4,7.7988
0.582,13.6,7.9152
0.582,13.9,8.0898
0.582,14.2,8.2644
0.581,14.5,8.4245
0.581,14.8,8.5988
0.581,15.1,8.7731
0.581,15.4,8.9474
0.581,15.6,9.0636
0.58,15.9,9.222
0.58,16.2,9.396
0.58,16.5,9.57
0.579,16.8,9.7272
0.579,17.1,9.9009
0.579,17.4,10.0746
0.579,17.6,10.1904
0.578,17.9,10.3462
0.578,18.2,10.5196
0.578,18.5,10.693
0.578,18.8,10.8664
0.577,19.1,11.0207
0.577,19.4,11.1938
0.576,19.6,11.2896
0.576,19.9,11.4624
0.576,20.2,11.6352
0.576,20.5,11.808
0.575,20.8,11.96
0.575,21.1,12.1325
0.574,21.4,12.2836
0.574,21.6,12.3984
0.573,21.9,12.5487
0.573,22.2,12.7206
0.572,22.5,12.87
0.572,22.8,13.0416
0.571,23.1,13.1901
