Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:43:41.325451
Vopen (V),0.583
Ishort (A),38.4
Vmaxp (V),0.502
Imaxp (A),38.1
Pmax (W),19.1262
V (V),I (A),P (W)
0.582,0.2,0.1164
0.583,0.5,0.2915
0.584,0.7,0.4088
0.583,1.0,0.583
0.583,1.2,0.6996
0.584,1.5,0.876
0.583,1.7,0.9911
0.583,2.0,1.166
0.584,2.3,1.3432
0.583,2.5,1.4575
0.583,2.8,1.6324
0.583,3.0,1.749
0.584,3.3,1.9272
0.583,3.5,2.0405
0.583,3.8,2.2154
0.584,4.0,2.336
0.583,4.3,2.5069
0.583,4.6,2.6818
0.583,4.8,2.7984
0.583,5.1,2.9733
0.583,5.3,3.0899
0.583,5.6,3.2648
0.582,5.8,3.3756
0.582,6.1,3.5502
0.582,6.4,3.7248
0.582,6.6,3.8412
0.581,6.9,4.0089
0.581,7.1,4.1251
0.581,7.4,4.2994
0.58,7.6,4.408
0.58,7.9,4.582
0.58,8.1,4.698
0.579,8.4,4.8636
0.579,8.7,5.0373
0.579,8.9,5.1531
0.578,9.2,5.3176
0.578,9.4,5.4332
0.578,9.7,5.6066
0.577,9.9,5.7123
0.577,10.2,5.8854
0.577,10.4,6.0008
0.576,10.7,6.1632
0.576,11.0,6.336
0.576,11.2,6.4512
0.576,11.5,6.624
0.575,11.7,6.7275
0.575,12.0,6.9
0.574,12.2,7.0028
0.574,12.5,7.175
0.574,12.8,7.3472
0.574,13.0,7.462
0.573,13.3,7.6209
0.573,13.5,7.7355
0.573,13.8,7.9074
0.572,14.0,8.008
0.572,14.3,8.1796
0.572,14.5,8.294
0.571,14.8,8.4508
0.571,15.1,8.6221
0.571,15.3,8.7363
0.57,15.6,8.892
0.57,15.8,9.006
0.569,16.1,9.1609
0.569,16.3,9.2747
0.569,16.6,9.4454
0.568,16.8,9.5424
0.568,17.1,9.7128
0.567,17.4,9.8658
0.567,17.6,9.9792
0.567,17.9,10.1493
