Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:27:40.438817
Vopen (V),0.581
Ishort (A),31.2
Vmaxp (V),0.536
Imaxp (A),30.9
Pmax (W),16.5624
V (V),I (A),P (W)
0.579,0.2,0.1158
0.58,0.4,0.232
0.58,0.6,0.348
0.579,0.8,0.4632
0.579,1.0,0.579
0.58,1.2,0.696
0.58,1.4,0.812
0.581,1.6,0.9296
0.581,1.8,1.0458
0.581,2.0,1.162
0.581,2.2,1.2782
0.581,2.4,1.3944
0.581,2.7,1.5687
0.581,2.9,1.6849
0.581,3.1,1.8011
0.581,3.3,1.9173
0.581,3.5,2.0335
0.581,3.7,2.1497
0.581,3.9,2.2659
0.581,4.1,2.3821
0.581,4.3,2.4983
0.581,4.5,2.6145
0.581,4.7,2.7307
0.581,4.9,2.8469
0.581,5.2,3.0212
0.581,5.4,3.1374
0.58,5.6,3.248
0.58,5.8,3.364
0.58,6.0,3.48
0.58,6.2,3.596
0.579,6.4,3.7056
0.579,6.6,3.8214
0.579,6.8,3.9372
0.579,7.0,4.053
0.578,7.2,4.1616
0.578,7.4,4.2772
0.578,7.6,4.3928
0.578,7.9,4.5662
0.578,8.1,4.6818
0.578,8.3,4.7974
0.577,8.5,4.9045
0.577,8.7,5.0199
0.577,8.9,5.1353
0.577,9.1,5.2507
0.577,9.3,5.3661
0.577,9.5,5.4815
0.576,9.7,5.5872
0.576,9.9,5.7024
0.576,10.1,5.8176
0.576,10.4,5.9904
0.575,10.6,6.095
0.575,10.8,6.21
0.575,11.0,6.325
0.575,11.2,6.44
0.575,11.4,6.555
0.574,11.6,6.6584
0.574,11.8,6.7732
0.574,12.0,6.888
0.574,12.2,7.0028
0.574,12.4,7.1176
0.573,12.6,7.2198
0.573,12.8,7.3344
0.573,13.1,7.5063
0.573,13.3,7.6209
0.572,13.5,7.722
0.572,13.7,7.8364
0.572,13.9,7.9508
0.572,14.1,8.0652
0.572,14.3,8.1796
0.572,14.5,8.294
0.571,14.7,8.3937
0.571,14.9,8.5079
0.571,15.1,8.6221
0.57,15.3,8.721
0.57,15.6,8.892
0.57,15.8,9.006
0.569,16.0,9.104
0.569,16.2,9.2178
0.569,16.4,9.3316
0.569,16.6,9.4454
0.568,16.8,9.5424
0.568,17.0,9.656
0.567,17.2,9.7524
0.567,17.4,9.8658
0.567,17.6,9.9792
0.566,17.8,10.0748
0.566,18.0,10.188
0.566,18.3,10.3578
0.565,18.5,10.4525
0.565,18.7,10.5655
0.565,18.9,10.6785
0.565,19.1,10.7915
0.564,19.3,10.8852
0.564,19.5,10.998
0.564,19.7,11.1108
0.564,19.9,11.2236
0.564,20.1,11.3364
0.563,20.3,11.4289
0.563,20.5,11.5415
0.562,20.8,11.6896
0.562,21.0,11.802
0.561,21.2,11.8932
0.561,21.4,12.0054
0.561,21.6,12.1176
0.56,21.8,12.208
0.56,22.0,12.32
0.559,22.2,12.4098
0.559,22.4,12.5216
0.559,22.6,12.6334
0.558,22.8,12.7224
0.558,23.0,12.834
0.557,23.2,12.9224
0.557,23.5,13.0895
0.556,23.7,13.1772
0.556,23.9,13.2884
0.556,24.1,13.3996
0.555,24.3,13.4865
0.555,24.5,13.5975
0.555,24.7,13.7085
0.554,24.9,13.7946
0.554,25.1,13.9054
0.553,25.3,13.9909
0.553,25.5,14.1015
0.552,25.7,14.1864
0.551,26.0,14.326
0.551,26.2,14.4362
0.55,26.4,14.52
0.549,26.6,14.6034
0.549,26.8,14.7132
0.549,27.0,14.823
0.548,27.2,14.9056
0.547,27.4,14.9878
0.547,27.6,15.0972
0.546,27.8,15.1788
0.546,28.0,15.288
0.546,28.2,15.3972
0.545,28.4,15.478
0.544,28.7,15.6128
0.543,28.9,15.6927
0.542,29.1,15.7722
0.541,29.3,15.8513
0.541,29.5,15.9595
0.54,29.7,16.038
0.539,29.9,16.1161
0.539,30.1,16.2239
0.538,30.3,16.3014
0.537,30.5,16.3785
0.536,30.7,16.4552
0.536,30.9,16.5624
0.0,31.2,0.0
END OF SAMPLE

Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:28:38.065528
Vopen (V),0.581
Ishort (A),30.9
Vmaxp (V),0.533
Imaxp (A),30.6
Pmax (W),16.309800000000003
V (V),I (A),P (W)
0.578,0.2,0.1156
0.58,0.4,0.232
0.58,0.6,0.348
0.579,0.8,0.4632
0.58,1.0,0.58
0.58,1.2,0.696
0.58,1.4,0.812
0.58,1.6,0.928
0.579,1.8,1.0422
0.58,2.0,1.16
0.579,2.2,1.2738
0.58,2.4,1.392
0.58,2.6,1.508
0.58,2.8,1.624
0.58,3.0,1.74
0.58,3.2,1.856
0.58,3.5,2.03
0.58,3.7,2.146
0.58,3.9,2.262
0.58,4.1,2.378
0.58,4.3,2.494
0.58,4.5,2.61
0.58,4.7,2.726
0.58,4.9,2.842
0.58,5.1,2.958
0.58,5.3,3.074
0.579,5.5,3.1845
0.579,5.7,3.3003
0.579,5.9,3.4161
0.579,6.1,3.5319
0.578,6.3,3.6414
0.578,6.5,3.757
0.578,6.7,3.8726
0.578,7.0,4.046
0.578,7.2,4.1616
0.577,7.4,4.2698
0.577,7.6,4.3852
0.577,7.8,4.5006
0.577,8.0,4.616
0.577,8.2,4.7314
0.576,8.4,4.8384
0.576,8.6,4.9536
0.576,8.8,5.0688
0.576,9.0,5.184
0.576,9.2,5.2992
0.575,9.4,5.405
0.575,9.6,5.52
0.575,9.8,5.635
0.575,10.0,5.75
0.575,10.3,5.9225
0.574,10.5,6.027
0.574,10.7,6.1418
0.574,10.9,6.2566
0.574,11.1,6.3714
0.574,11.3,6.4862
0.574,11.5,6.601
0.574,11.7,6.7158
0.573,11.9,6.8187
0.573,12.1,6.9333
0.573,12.3,7.0479
0.573,12.5,7.1625
0.573,12.7,7.2771
0.572,12.9,7.3788
0.572,13.1,7.4932
0.572,13.3,7.6076
0.572,13.5,7.722
0.571,13.8,7.8798
0.571,14.0,7.994
0.571,14.2,8.1082
0.571,14.4,8.2224
0.57,14.6,8.322
0.57,14.8,8.436
0.57,15.0,8.55
0.569,15.2,8.6488
0.569,15.4,8.7626
0.569,15.6,8.8764
0.568,15.8,8.9744
0.568,16.0,9.088
0.567,16.2,9.1854
0.567,16.4,9.2988
0.567,16.6,9.4122
0.566,16.8,9.5088
0.566,17.0,9.622
0.566,17.3,9.7918
0.565,17.5,9.8875
0.565,17.7,10.0005
0.565,17.9,10.1135
0.565,18.1,10.2265
0.565,18.3,10.3395
0.564,18.5,10.434
0.564,18.7,10.5468
0.564,18.9,10.6596
0.564,19.1,10.7724
0.563,19.3,10.8659
0.563,19.5,10.9785
0.562,19.7,11.0714
0.562,19.9,11.1838
0.562,20.1,11.2962
0.561,20.3,11.3883
0.561,20.6,11.5566
0.56,20.8,11.648
0.56,21.0,11.76
0.559,21.2,11.8508
0.559,21.4,11.9626
0.559,21.6,12.0744
0.558,21.8,12.1644
0.558,22.0,12.276
0.558,22.2,12.3876
0.557,22.4,12.4768
0.557,22.6,12.5882
0.557,22.8,12.6996
0.556,23.0,12.788
0.556,23.2,12.8992
0.555,23.4,12.987
0.555,23.6,13.098
0.554,23.8,13.1852
0.554,24.1,13.3514
0.553,24.3,13.4379
0.553,24.5,13.5485
0.552,24.7,13.6344
0.552,24.9,13.7448
0.551,25.1,13.8301
0.551,25.3,13.9403
0.55,25.5,14.025
0.55,25.7,14.135
0.549,25.9,14.2191
0.548,26.1,14.3028
0.548,26.3,14.4124
0.547,26.5,14.4955
0.547,26.7,14.6049
0.546,26.9,14.6874
0.546,27.1,14.7966
0.545,27.3,14.8785
0.544,27.6,15.0144
0.543,27.8,15.0954
0.543,28.0,15.204
0.542,28.2,15.2844
0.542,28.4,15.3928
0.541,28.6,15.4726
0.54,28.8,15.552
0.539,29.0,15.631
0.539,29.2,15.7388
0.538,29.4,15.8172
0.537,29.6,15.8952
0.536,29.8,15.9728
0.535,30.0,16.05
0.535,30.2,16.157
0.534,30.4,16.2336
0.533,30.6,16.3098
0.0,30.9,0.0
END OF SAMPLE

Sample Number,2,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:29:17.679585
Vopen (V),0.588
Ishort (A),44.2
Vmaxp (V),0.497
Imaxp (A),41.8
Pmax (W),20.7746
V (V),I (A),P (W)
0.585,0.2,0.117
0.585,0.5,0.2925
0.584,0.8,0.4672
0.584,1.1,0.6424
0.584,1.4,0.8176
0.584,1.7,0.9928
0.584,2.0,1.168
0.583,2.3,1.3409
0.583,2.6,1.5158
0.583,2.9,1.6907
0.583,3.2,1.8656
0.583,3.5,2.0405
0.583,3.8,2.2154
0.583,4.1,2.3903
0.583,4.4,2.5652
0.583,4.7,2.7401
0.583,5.0,2.915
0.583,5.3,3.0899
0.583,5.5,3.2065
0.583,5.8,3.3814
0.582,6.1,3.5502
