Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 13:18:17.084018
Vopen (V),0.581
Ishort (A),29.5
Vmaxp (V),0.543
Imaxp (A),29.3
Pmax (W),15.909900000000002
V (V),I (A),P (W)
0.583,0.1,0.0583
0.583,0.3,0.1749
0.583,0.5,0.2915
0.583,0.7,0.4081
0.583,0.9,0.5247
0.583,1.1,0.6413
0.583,1.3,0.7579
0.583,1.5,0.8745
0.583,1.7,0.9911
0.583,1.9,1.1077
0.583,2.1,1.2243
0.583,2.3,1.3409
0.583,2.5,1.4575
0.583,2.7,1.5741
0.583,2.9,1.6907
0.583,3.1,1.8073
0.583,3.3,1.9239
0.583,3.5,2.0405
0.583,3.7,2.1571
0.583,3.9,2.2737
0.583,4.1,2.3903
0.583,4.3,2.5069
0.583,4.5,2.6235
0.583,4.7,2.7401
0.583,4.9,2.8567
0.583,5.1,2.9733
0.583,5.3,3.0899
0.583,5.5,3.2065
0.582,5.7,3.3174
0.582,5.9,3.4338
0.582,6.0,3.492
0.582,6.2,3.6084
0.582,6.4,3.7248
0.582,6.6,3.8412
0.581,6.8,3.9508
0.581,7.0,4.067
0.581,7.2,4.1832
0.581,7.4,4.2994
0.581,7.6,4.4156
0.58,7.8,4.524
0.581,8.0,4.648
0.58,8.2,4.756
0.58,8.4,4.872
0.58,8.6,4.988
0.58,8.8,5.104
0.579,9.0,5.211
0.579,9.2,5.3268
0.579,9.4,5.4426
0.579,9.6,5.5584
0.579,9.8,5.6742
0.578,10.0,5.78
0.578,10.2,5.8956
0.578,10.4,6.0112
0.578,10.6,6.1268
0.577,10.8,6.2316
0.577,11.0,6.347
0.577,11.2,6.4624
0.576,11.4,6.5664
0.576,11.6,6.6816
0.576,11.8,6.7968
0.576,11.9,6.8544
0.576,12.1,6.9696
0.576,12.3,7.0848
0.575,12.5,7.1875
0.575,12.7,7.3025
0.575,12.9,7.4175
0.575,13.1,7.5325
0.575,13.3,7.6475
0.574,13.5,7.749
0.574,13.7,7.8638
0.574,13.9,7.9786
0.574,14.1,8.0934
0.573,14.3,8.1939
0.573,14.5,8.3085
0.573,14.7,8.4231
0.573,14.9,8.5377
0.573,15.1,8.6523
0.572,15.3,8.7516
0.572,15.5,8.866
0.572,15.7,8.9804
0.571,15.9,9.0789
0.571,16.1,9.1931
0.571,16.3,9.3073
0.571,16.5,9.4215
0.57,16.7,9.519
0.57,16.9,9.633
0.57,17.1,9.747
0.569,17.3,9.8437
0.569,17.5,9.9575
0.568,17.7,10.0536
0.568,17.8,10.1104
0.568,18.0,10.224
0.567,18.2,10.3194
0.567,18.4,10.4328
0.567,18.6,10.5462
0.566,18.8,10.6408
0.566,19.0,10.754
0.566,19.2,10.8672
0.566,19.4,10.9804
0.565,19.6,11.074
0.565,19.8,11.187
0.565,20.0,11.3
0.565,20.2,11.413
0.564,20.4,11.5056
0.564,20.6,11.6184
0.564,20.8,11.7312
0.563,21.0,11.823
0.563,21.2,11.9356
0.563,21.4,12.0482
0.562,21.6,12.1392
0.562,21.8,12.2516
0.562,22.0,12.364
0.561,22.2,12.4542
0.561,22.4,12.5664
0.56,22.6,12.656
0.56,22.8,12.768
0.559,23.0,12.857
0.559,23.2,12.9688
0.558,23.4,13.0572
0.558,23.6,13.1688
0.558,23.7,13.2246
0.558,23.9,13.3362
0.557,24.1,13.4237
0.557,24.3,13.5351
0.556,24.5,13.622
0.556,24.7,13.7332
0.555,24.9,13.8195
0.555,25.1,13.9305
0.554,25.3,14.0162
0.554,25.5,14.127
0.553,25.7,14.2121
0.553,25.9,14.3227
0.552,26.1,14.4072
0.552,26.3,14.5176
0.551,26.5,14.6015
0.55,26.7,14.685
0.55,26.9,14.795
0.549,27.1,14.8779
0.549,27.3,14.9877
0.548,27.5,15.07
0.547,27.7,15.1519
0.547,27.9,15.2613
0.546,28.1,15.3426
0.546,28.3,15.4518
0.545,28.5,15.5325
0.544,28.7,15.6128
0.544,28.9,15.7216
0.543,29.1,15.8013
0.543,29.3,15.9099
0.0,29.5,0.0
END OF SAMPLE

Sample Number,2,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 13:19:22.617440
Vopen (V),0.586
Ishort (A),36.4
Vmaxp (V),0.522
Imaxp (A),36.1
Pmax (W),18.8442
V (V),I (A),P (W)
0.584,0.2,0.1168
0.585,0.4,0.234
0.585,0.7,0.4095
0.585,0.9,0.5265
0.585,1.2,0.702
0.585,1.4,0.819
0.585,1.6,0.936
0.585,1.9,1.1115
0.585,2.1,1.2285
0.585,2.4,1.404
0.585,2.6,1.521
0.585,2.9,1.6965
0.585,3.1,1.8135
0.585,3.3,1.9305
0.585,3.6,2.106
0.585,3.8,2.223
0.585,4.1,2.3985
0.585,4.3,2.5155
0.585,4.6,2.691
0.585,4.8,2.808
0.585,5.0,2.925
0.584,5.3,3.0952
0.585,5.5,3.2175
0.584,5.8,3.3872
0.584,6.0,3.504
0.584,6.3,3.6792
0.583,6.5,3.7895
0.583,6.7,3.9061
0.583,7.0,4.081
0.583,7.2,4.1976
0.583,7.5,4.3725
0.583,7.7,4.4891
0.582,8.0,4.656
0.582,8.2,4.7724
0.582,8.4,4.8888
0.582,8.7,5.0634
0.582,8.9,5.1798
0.581,9.2,5.3452
0.581,9.4,5.4614
0.581,9.7,5.6357
0.581,9.9,5.7519
0.581,10.1,5.8681
0.58,10.4,6.032
0.58,10.6,6.148
0.58,10.9,6.322
0.58,11.1,6.438
0.579,11.4,6.6006
0.579,11.6,6.7164
0.579,11.8,6.8322
0.579,12.1,7.0059
0.578,12.3,7.1094
0.578,12.6,7.2828
0.578,12.8,7.3984
0.577,13.1,7.5587
0.577,13.3,7.6741
0.577,13.5,7.7895
0.577,13.8,7.9626
0.577,14.0,8.078
0.576,14.3,8.2368
0.576,14.5,8.352
0.575,14.8,8.51
0.575,15.0,8.625
