Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:39:38.187706
Vopen (V),0.579
Ishort (A),31.3
Vmaxp (V),0.547
Imaxp (A),31.0
Pmax (W),16.957
V (V),I (A),P (W)
0.582,0.2,0.1164
0.583,0.4,0.2332
0.583,0.6,0.3498
0.583,0.8,0.4664
0.583,1.0,0.583
0.583,1.2,0.6996
0.583,1.4,0.8162
0.583,1.6,0.9328
0.583,1.8,1.0494
0.583,2.0,1.166
0.583,2.2,1.2826
0.583,2.5,1.4575
0.583,2.7,1.5741
0.583,2.9,1.6907
0.583,3.1,1.8073
0.583,3.3,1.9239
0.583,3.5,2.0405
0.583,3.7,2.1571
0.583,3.9,2.2737
0.583,4.1,2.3903
0.583,4.3,2.5069
0.583,4.5,2.6235
0.583,4.7,2.7401
0.583,5.0,2.915
0.583,5.2,3.0316
0.582,5.4,3.1428
0.582,5.6,3.2592
0.582,5.8,3.3756
0.582,6.0,3.492
0.582,6.2,3.6084
0.582,6.4,3.7248
0.582,6.6,3.8412
0.581,6.8,3.9508
0.582,7.0,4.074
0.581,7.3,4.2413
0.581,7.5,4.3575
0.581,7.7,4.4737
0.581,7.9,4.5899
0.581,8.1,4.7061
0.58,8.3,4.814
0.58,8.5,4.93
0.58,8.7,5.046
0.58,8.9,5.162
0.58,9.1,5.278
0.579,9.3,5.3847
0.579,9.5,5.5005
0.579,9.8,5.6742
0.579,10.0,5.79
0.579,10.2,5.9058
0.578,10.4,6.0112
0.578,10.6,6.1268
0.578,10.8,6.2424
0.578,11.0,6.358
0.577,11.2,6.4624
0.577,11.4,6.5778
0.577,11.6,6.6932
0.577,11.8,6.8086
0.577,12.1,6.9817
0.577,12.3,7.0971
0.576,12.5,7.2
0.576,12.7,7.3152
0.576,12.9,7.4304
0.576,13.1,7.5456
0.575,13.3,7.6475
0.575,13.5,7.7625
0.575,13.7,7.8775
0.575,13.9,7.9925
0.575,14.1,8.1075
0.575,14.3,8.2225
0.574,14.6,8.3804
0.574,14.8,8.4952
0.574,15.0,8.61
0.574,15.2,8.7248
0.574,15.4,8.8396
0.573,15.6,8.9388
