Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:18:53.686469
Vopen (V),0.58
Ishort (A),29.3
Vmaxp (V),0.51
Imaxp (A),29.1
Pmax (W),14.841000000000001
V (V),I (A),P (W)
0.58,0.1,0.058
0.581,0.3,0.1743
0.581,0.5,0.2905
0.581,0.7,0.4067
0.58,0.9,0.522
0.58,1.1,0.638
0.58,1.3,0.754
0.58,1.5,0.87
0.581,1.7,0.9877
0.58,1.9,1.102
0.581,2.1,1.2201
0.581,2.3,1.3363
0.58,2.5,1.45
0.58,2.7,1.566
0.58,2.9,1.682
0.58,3.1,1.798
0.58,3.3,1.914
0.58,3.5,2.03
0.58,3.7,2.146
0.58,3.9,2.262
0.579,4.1,2.3739
0.579,4.2,2.4318
0.579,4.4,2.5476
0.579,4.6,2.6634
0.578,4.8,2.7744
0.578,5.0,2.89
0.578,5.2,3.0056
0.578,5.4,3.1212
0.578,5.6,3.2368
0.577,5.8,3.3466
0.576,6.0,3.456
0.576,6.2,3.5712
0.576,6.4,3.6864
0.576,6.6,3.8016
0.576,6.8,3.9168
0.576,7.0,4.032
0.575,7.2,4.14
0.575,7.4,4.255
0.575,7.6,4.37
0.575,7.8,4.485
0.575,8.0,4.6
0.574,8.2,4.7068
0.574,8.3,4.7642
0.574,8.5,4.879
0.574,8.7,4.9938
0.574,8.9,5.1086
0.573,9.1,5.2143
0.573,9.3,5.3289
0.572,9.5,5.434
0.572,9.7,5.5484
0.572,9.9,5.6628
0.571,10.1,5.7671
0.571,10.3,5.8813
0.571,10.5,5.9955
0.57,10.7,6.099
0.57,10.9,6.213
0.57,11.1,6.327
0.569,11.3,6.4297
0.569,11.5,6.5435
0.568,11.7,6.6456
0.568,11.9,6.7592
0.567,12.1,6.8607
0.567,12.3,6.9741
0.566,12.5,7.075
0.566,12.6,7.1316
0.566,12.8,7.2448
0.565,13.0,7.345
0.565,13.2,7.458
0.565,13.4,7.571
0.564,13.6,7.6704
0.564,13.8,7.7832
0.564,14.0,7.896
0.563,14.2,7.9946
0.563,14.4,8.1072
0.563,14.6,8.2198
0.563,14.8,8.3324
0.562,15.0,8.43
0.562,15.2,8.5424
0.561,15.4,8.6394
0.561,15.6,8.7516
0.56,15.8,8.848
0.56,16.0,8.96
0.559,16.2,9.0558
0.559,16.4,9.1676
0.558,16.6,9.2628
0.559,16.7,9.3353
0.558,16.9,9.4302
0.558,17.1,9.5418
0.557,17.3,9.6361
0.557,17.5,9.7475
0.557,17.7,9.8589
0.556,17.9,9.9524
0.556,18.1,10.0636
0.555,18.3,10.1565
0.555,18.5,10.2675
0.554,18.7,10.3598
0.554,18.9,10.4706
0.553,19.1,10.5623
0.553,19.3,10.6729
0.552,19.5,10.764
0.551,19.7,10.8547
0.551,19.9,10.9649
0.55,20.1,11.055
0.549,20.3,11.1447
0.549,20.5,11.2545
0.548,20.7,11.3436
0.547,20.9,11.4323
0.546,21.0,11.466
0.546,21.2,11.5752
0.546,21.4,11.6844
0.545,21.6,11.772
0.544,21.8,11.8592
0.543,22.0,11.946
0.542,22.2,12.0324
0.541,22.4,12.1184
0.54,22.6,12.204
0.539,22.8,12.2892
0.539,23.0,12.397
0.538,23.2,12.4816
0.538,23.4,12.5892
0.537,23.6,12.6732
0.537,23.8,12.7806
0.536,24.0,12.864
0.536,24.2,12.9712
0.535,24.4,13.054
0.534,24.6,13.1364
0.534,24.8,13.2432
0.532,25.0,13.3
0.531,25.1,13.3281
0.53,25.3,13.409
0.53,25.5,13.515
0.528,25.7,13.5696
0.526,25.9,13.6234
0.525,26.1,13.7025
0.523,26.3,13.7549
0.522,26.5,13.833
0.52,26.7,13.884
0.519,26.9,13.9611
0.517,27.1,14.0107
0.514,27.3,14.0322
0.511,27.5,14.0525
0.509,27.7,14.0993
0.505,27.9,14.0895
0.503,28.1,14.1343
0.503,28.3,14.2349
0.503,28.5,14.3355
0.505,28.7,14.4935
0.508,28.9,14.6812
0.51,29.1,14.841
0.0,29.3,0.0
END OF SAMPLE

Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-07 14:20:13.377416
Vopen (V),0.583
Ishort (A),32.3
Vmaxp (V),0.516
Imaxp (A),32.0
Pmax (W),16.512
V (V),I (A),P (W)
0.57,0.2,0.114
