Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-09-04 09:33:47.666756
Vopen (V),0.581
Ishort (mA),28.5
Vmaxp (V),0.523
Imaxp (mA),28.3
Pmax (mW),14.8009
V (V),I (mA),P (mW)
0.58,0.1,0.058
0.58,0.3,0.174
0.581,0.5,0.2905
0.58,0.7,0.406
0.581,0.9,0.5229
0.58,1.1,0.638
0.58,1.3,0.754
0.58,1.5,0.87
0.58,1.7,0.986
0.58,1.9,1.102
0.58,2.0,1.16
0.58,2.2,1.276
0.58,2.4,1.392
0.58,2.6,1.508
0.58,2.8,1.624
0.58,3.0,1.74
0.58,3.2,1.856
0.58,3.4,1.972
0.58,3.6,2.088
0.58,3.8,2.204
0.58,3.9,2.262
0.58,4.1,2.378
0.58,4.3,2.494
0.58,4.5,2.61
0.58,4.7,2.726
0.58,4.9,2.842
0.58,5.1,2.958
0.58,5.3,3.074
0.579,5.5,3.1845
0.579,5.7,3.3003
0.579,5.8,3.3582
0.579,6.0,3.474
0.579,6.2,3.5898
0.578,6.4,3.6992
0.578,6.6,3.8148
0.578,6.8,3.9304
0.577,7.0,4.039
0.577,7.2,4.1544
0.577,7.4,4.2698
0.577,7.6,4.3852
0.576,7.7,4.4352
0.576,7.9,4.5504
0.576,8.1,4.6656
0.576,8.3,4.7808
0.576,8.5,4.896
0.575,8.7,5.0025
0.575,8.9,5.1175
0.575,9.1,5.2325
0.575,9.3,5.3475
0.575,9.5,5.4625
0.574,9.6,5.5104
0.574,9.8,5.6252
0.574,10.0,5.74
0.574,10.2,5.8548
0.574,10.4,5.9696
0.573,10.6,6.0738
0.573,10.8,6.1884
0.573,11.0,6.303
0.573,11.2,6.4176
0.572,11.4,6.5208
0.572,11.5,6.578
0.572,11.7,6.6924
0.572,11.9,6.8068
0.571,12.1,6.9091
0.571,12.3,7.0233
0.571,12.5,7.1375
0.571,12.7,7.2517
0.57,12.9,7.353
0.57,13.1,7.467
0.569,13.3,7.5677
0.569,13.4,7.6246
0.569,13.6,7.7384
0.568,13.8,7.8384
0.568,14.0,7.952
0.568,14.2,8.0656
0.567,14.4,8.1648
0.567,14.6,8.2782
0.566,14.8,8.3768
0.566,15.0,8.49
0.566,15.2,8.6032
0.566,15.3,8.6598
0.565,15.5,8.7575
0.565,15.7,8.8705
0.565,15.9,8.9835
0.564,16.1,9.0804
0.564,16.3,9.1932
0.564,16.5,9.306
0.564,16.7,9.4188
0.563,16.9,9.5147
0.563,17.1,9.6273
0.562,17.2,9.6664
0.562,17.4,9.7788
0.562,17.6,9.8912
0.561,17.8,9.9858
0.561,18.0,10.098
0.56,18.2,10.192
0.56,18.4,10.304
0.559,18.6,10.3974
0.559,18.8,10.5092
0.559,19.0,10.621
0.558,19.1,10.6578
0.558,19.3,10.7694
0.557,19.5,10.8615
0.557,19.7,10.9729
0.556,19.9,11.0644
0.556,20.1,11.1756
0.556,20.3,11.2868
0.555,20.5,11.3775
0.555,20.7,11.4885
0.554,20.9,11.5786
0.554,21.0,11.634
0.553,21.2,11.7236
0.553,21.4,11.8342
0.552,21.6,11.9232
0.552,21.8,12.0336
0.551,22.0,12.122
0.55,22.2,12.21
0.549,22.4,12.2976
0.549,22.6,12.4074
0.548,22.8,12.4944
0.548,22.9,12.5492
0.547,23.1,12.6357
0.547,23.3,12.7451
0.546,23.5,12.831
0.546,23.7,12.9402
0.545,23.9,13.0255
0.544,24.1,13.1104
0.544,24.3,13.2192
0.542,24.5,13.279
0.541,24.7,13.3627
0.541,24.8,13.4168
0.541,25.0,13.525
0.539,25.2,13.5828
0.538,25.4,13.6652
0.537,25.6,13.7472
0.537,25.8,13.8546
0.536,26.0,13.936
0.535,26.2,14.017
0.534,26.4,14.0976
0.533,26.6,14.1778
0.533,26.7,14.2311
0.532,26.9,14.3108
0.53,27.1,14.363
0.529,27.3,14.4417
0.528,27.5,14.52
0.526,27.7,14.5702
0.525,27.9,14.6475
0.524,28.1,14.7244
0.523,28.3,14.8009
0.0,28.5,0.0
END OF SAMPLE

