Sample Number,1,Collected with Prova 210
Channel Number,1
Date & Time,2026-09-04 10:38:31.932261
Vopen (V),0.586
Ishort (mA),36.6
Vmaxp (V),0.527
Imaxp (mA),36.3
Pmax (mW),19.1301
V (V),I (mA),P (mW)
0.585,0.2,0.117
0.586,0.4,0.2344
0.585,0.7,0.4095
0.586,0.9,0.5274
0.586,1.2,0.7032
0.586,1.4,0.8204
0.586,1.7,0.9962
0.585,1.9,1.1115
0.586,2.1,1.2306
0.586,2.4,1.4064
0.586,2.6,1.5236
0.586,2.9,1.6994
0.586,3.1,1.8166
0.586,3.4,1.9924
0.586,3.6,2.1096
0.586,3.9,2.2854
0.586,4.1,2.4026
0.586,4.3,2.5198
0.586,4.6,2.6956
0.586,4.8,2.8128
0.586,5.1,2.9886
0.586,5.3,3.1058
0.585,5.6,3.276
0.585,5.8,3.393
0.584,6.1,3.5624
0.584,6.3,3.6792
0.584,6.5,3.796
0.584,6.8,3.9712
0.584,7.0,4.088
0.583,7.3,4.2559
0.583,7.5,4.3725
0.583,7.8,4.5474
0.583,8.0,4.664
0.583,8.2,4.7806
0.583,8.5,4.9555
0.583,8.7,5.0721
0.582,9.0,5.238
0.582,9.2,5.3544
0.582,9.5,5.529
0.582,9.7,5.6454
0.581,10.0,5.81
0.581,10.2,5.9262
0.581,10.4,6.0424
0.581,10.7,6.2167
0.581,10.9,6.3329
0.58,11.2,6.496
0.58,11.4,6.612
0.58,11.7,6.786
0.58,11.9,6.902
0.579,12.2,7.0638
0.579,12.4,7.1796
0.579,12.6,7.2954
0.579,12.9,7.4691
0.578,13.1,7.5718
0.578,13.4,7.7452
0.578,13.6,7.8608
0.578,13.9,8.0342
0.577,14.1,8.1357
0.577,14.3,8.2511
0.577,14.6,8.4242
0.577,14.8,8.5396
0.576,15.1,8.6976
0.576,15.3,8.8128
0.576,15.6,8.9856
0.576,15.8,9.1008
0.575,16.1,9.2575
0.575,16.3,9.3725
0.575,16.5,9.4875
0.575,16.8,9.66
0.574,17.0,9.758
0.574,17.3,9.9302
0.574,17.5,10.045
0.573,17.8,10.1994
0.573,18.0,10.314
0.573,18.3,10.4859
0.573,18.5,10.6005
0.572,18.7,10.6964
0.572,19.0,10.868
0.572,19.2,10.9824
0.571,19.5,11.1345
0.571,19.7,11.2487
0.571,20.0,11.42
0.57,20.2,11.514
0.57,20.4,11.628
0.57,20.7,11.799
0.569,20.9,11.8921
0.569,21.2,12.0628
0.568,21.4,12.1552
0.568,21.7,12.3256
0.567,21.9,12.4173
0.567,22.2,12.5874
0.567,22.4,12.7008
0.566,22.6,12.7916
0.566,22.9,12.9614
0.566,23.1,13.0746
0.565,23.4,13.221
0.565,23.6,13.334
0.565,23.9,13.5035
0.564,24.1,13.5924
0.564,24.4,13.7616
0.563,24.6,13.8498
0.563,24.8,13.9624
0.563,25.1,14.1313
0.562,25.3,14.2186
0.561,25.6,14.3616
0.561,25.8,14.4738
0.56,26.1,14.616
0.56,26.3,14.728
0.56,26.5,14.84
0.559,26.8,14.9812
0.559,27.0,15.093
0.558,27.3,15.2334
0.558,27.5,15.345
0.557,27.8,15.4846
0.556,28.0,15.568
0.556,28.3,15.7348
0.555,28.5,15.8175
0.555,28.7,15.9285
0.554,29.0,16.066
0.554,29.2,16.1768
0.553,29.5,16.3135
0.553,29.7,16.4241
0.551,30.0,16.53
0.551,30.2,16.6402
0.55,30.5,16.775
0.549,30.7,16.8543
0.549,30.9,16.9641
0.548,31.2,17.0976
0.547,31.4,17.1758
0.546,31.7,17.3082
0.546,31.9,17.4174
0.545,32.2,17.549
0.544,32.4,17.6256
0.543,32.6,17.7018
0.542,32.9,17.8318
0.541,33.1,17.9071
0.54,33.4,18.036
0.54,33.6,18.144
0.539,33.9,18.2721
0.538,34.1,18.3458
0.537,34.4,18.4728
0.536,34.6,18.5456
0.535,34.8,18.618
0.533,35.1,18.7083
0.532,35.3,18.7796
0.53,35.6,18.868
0.529,35.8,18.9382
0.528,36.1,19.0608
0.527,36.3,19.1301
0.0,36.6,0.0
END OF SAMPLE

