Sample Number,3,Collected with Prova 210
Channel Number,1
Date & Time,2026-07-16 20:18:30.282620
Vopen (V),0.549
Ishort (mA),13.7
Vmaxp (V),0.531
Imaxp (mA),13.6
Pmax (mW),7.2216000000000005
V (V),I (mA),P (mW)
0.558,0.0,0.0
0.559,0.1,0.0559
0.559,0.2,0.1118
0.559,0.3,0.1677
0.559,0.4,0.2236
0.559,0.5,0.2795
0.559,0.6,0.3354
0.559,0.7,0.3913
0.559,0.8,0.4472
0.559,0.9,0.5031
0.559,1.0,0.559
0.559,1.0,0.559
0.559,1.1,0.6149
0.559,1.2,0.6708
0.559,1.3,0.7267
0.559,1.4,0.7826
0.559,1.5,0.8385
0.559,1.6,0.8944
0.559,1.7,0.9503
0.559,1.8,1.0062
0.559,1.9,1.0621
0.559,2.0,1.118
0.559,2.1,1.1739
0.559,2.1,1.1739
0.559,2.2,1.2298
0.559,2.3,1.2857
0.559,2.4,1.3416
0.559,2.5,1.3975
0.559,2.6,1.4534
0.559,2.7,1.5093
0.559,2.8,1.5652
0.559,2.9,1.6211
0.559,3.0,1.677
0.559,3.1,1.7329
0.559,3.1,1.7329
0.559,3.2,1.7888
0.559,3.3,1.8447
0.559,3.4,1.9006
0.559,3.5,1.9565
0.559,3.6,2.0124
0.559,3.7,2.0683
0.559,3.8,2.1242
0.559,3.9,2.1801
0.559,4.0,2.236
0.559,4.1,2.2919
0.559,4.2,2.3478
0.559,4.2,2.3478
0.559,4.3,2.4037
0.559,4.4,2.4596
0.559,4.5,2.5155
0.559,4.6,2.5714
0.559,4.7,2.6273
0.559,4.8,2.6832
0.559,4.9,2.7391
0.559,5.0,2.795
0.558,5.1,2.8458
0.558,5.2,2.9016
0.558,5.2,2.9016
0.557,5.3,2.9521
0.557,5.4,3.0078
0.557,5.5,3.0635
0.557,5.6,3.1192
0.557,5.7,3.1749
0.556,5.8,3.2248
0.556,5.9,3.2804
0.556,6.0,3.336
0.556,6.1,3.3916
0.556,6.2,3.4472
0.556,6.3,3.5028
0.556,6.3,3.5028
0.555,6.4,3.552
0.555,6.5,3.6075
0.555,6.6,3.663
0.555,6.7,3.7185
0.555,6.8,3.774
0.554,6.9,3.8226
0.554,7.0,3.878
0.554,7.1,3.9334
0.553,7.2,3.9816
0.553,7.3,4.0369
0.553,7.3,4.0369
0.553,7.4,4.0922
0.553,7.5,4.1475
0.553,7.6,4.2028
0.553,7.7,4.2581
0.552,7.8,4.3056
0.552,7.9,4.3608
0.552,8.0,4.416
0.551,8.1,4.4631
0.551,8.2,4.5182
0.551,8.3,4.5733
0.55,8.4,4.62
0.55,8.4,4.62
0.55,8.5,4.675
0.549,8.6,4.7214
0.549,8.7,4.7763
0.549,8.8,4.8312
0.548,8.9,4.8772
0.548,9.0,4.932
0.548,9.1,4.9868
0.548,9.2,5.0416
0.547,9.3,5.0871
0.547,9.4,5.1418
0.547,9.4,5.1418
0.547,9.5,5.1965
0.547,9.6,5.2512
0.546,9.7,5.2962
0.546,9.8,5.3508
0.546,9.9,5.4054
0.546,10.0,5.46
0.545,10.1,5.5045
0.545,10.2,5.559
0.545,10.3,5.6135
0.544,10.4,5.6576
0.545,10.5,5.7225
0.544,10.5,5.712
0.544,10.6,5.7664
0.544,10.7,5.8208
0.543,10.8,5.8644
0.543,10.9,5.9187
0.542,11.0,5.962
0.542,11.1,6.0162
0.542,11.2,6.0704
0.541,11.3,6.1133
0.541,11.4,6.1674
0.54,11.5,6.21
0.54,11.5,6.21
0.54,11.6,6.264
0.539,11.7,6.3063
0.539,11.8,6.3602
0.539,11.9,6.4141
0.539,12.0,6.468
0.538,12.1,6.5098
0.538,12.2,6.5636
0.537,12.3,6.6051
0.537,12.4,6.6588
0.536,12.5,6.7
0.536,12.6,6.7536
0.536,12.6,6.7536
0.536,12.7,6.8072
0.535,12.8,6.848
0.535,12.9,6.9015
0.534,13.0,6.942
0.533,13.1,6.9823
0.533,13.2,7.0356
0.533,13.3,7.0889
0.532,13.4,7.1288
0.532,13.5,7.182
0.531,13.6,7.2216
0.0,13.7,0.0
END OF SAMPLE

