Sample Number,1
Date & Time,2026-06-16 15:36:40.812912
Vopen (V),4.37
Ishort (A),21.0
Vmaxp (V),0.353
Imaxp (A),0.208
Pmax (W),0.07342399999999999
V (V),I (A),P (W)
0.437,0.1,0.0437
0.437,0.2,0.0874
0.437,0.4,0.1748
0.437,0.5,0.2185
0.437,0.7,0.3059
0.437,0.8,0.3496
0.437,0.9,0.3933
0.437,1.1,0.4807
0.437,1.2,0.5244
0.437,1.4,0.6118
0.437,1.5,0.6555
0.437,1.6,0.6992
0.437,1.8,0.7866
0.437,1.9,0.8303
0.437,2.1,0.9177
0.437,2.2,0.9614
0.437,2.3,1.0051
0.437,2.5,1.0925
0.437,2.6,1.1362
0.437,2.8,1.2236
0.437,2.9,1.2673
0.437,3.0,1.311
0.437,3.2,1.3984
0.437,3.3,1.4421
0.437,3.5,1.5295
0.437,3.6,1.5732
0.437,3.7,1.6169
0.437,3.9,1.7043
0.437,4.0,1.748
0.437,4.2,1.8354
0.437,4.3,1.8791
0.437,4.4,1.9228
0.437,4.6,2.0102
0.437,4.7,2.0539
0.437,4.9,2.1413
0.437,5.0,2.185
0.436,5.1,2.2236
0.435,5.3,2.3055
0.435,5.4,2.349
0.434,5.6,2.4304
0.434,5.7,2.4738
0.434,5.8,2.5172
0.433,6.0,2.598
0.432,6.1,2.6352
0.432,6.3,2.7216
0.431,6.4,2.7584
0.431,6.5,2.8015
0.431,6.7,2.8877
0.43,6.8,2.924
0.43,7.0,3.01
0.43,7.1,3.053
0.429,7.2,3.0888
0.429,7.4,3.1746
0.428,7.5,3.21
0.428,7.7,3.2956
0.427,7.8,3.3306
0.427,7.9,3.3733
0.427,8.1,3.4587
0.426,8.2,3.4932
0.426,8.4,3.5784
0.426,8.5,3.621
0.425,8.6,3.655
0.424,8.8,3.7312
0.424,8.9,3.7736
0.423,9.1,3.8493
0.423,9.2,3.8916
0.422,9.3,3.9246
0.422,9.5,4.009
0.422,9.6,4.0512
0.421,9.8,4.1258
0.42,9.9,4.158
0.42,10.0,4.2
0.419,10.2,4.2738
0.419,10.3,4.3157
0.418,10.5,4.389
0.418,10.6,4.4308
0.417,10.7,4.4619
0.417,10.9,4.5453
0.416,11.0,4.576
0.415,11.2,4.648
0.414,11.3,4.6782
0.414,11.4,4.7196
0.413,11.6,4.7908
0.413,11.7,4.8321
0.412,11.9,4.9028
0.411,12.0,4.932
0.411,12.1,4.9731
0.41,12.3,5.043
0.409,12.4,5.0716
0.409,12.6,5.1534
0.409,12.7,5.1943
0.408,12.8,5.2224
0.407,13.0,5.291
0.406,13.1,5.3186
0.406,13.3,5.3998
0.405,13.4,5.427
0.405,13.5,5.4675
0.404,13.7,5.5348
0.403,13.8,5.5614
0.403,14.0,5.642
0.402,14.1,5.6682
0.401,14.2,5.6942
0.401,14.4,5.7744
0.4,14.5,5.8
0.399,14.7,5.8653
0.398,14.8,5.8904
0.398,14.9,5.9302
0.397,15.1,5.9947
0.396,15.2,6.0192
0.395,15.4,6.083
0.394,15.5,6.107
0.394,15.6,6.1464
0.393,15.8,6.2094
0.392,15.9,6.2328
0.391,16.1,6.2951
0.39,16.2,6.318
0.39,16.3,6.357
0.389,16.5,6.4185
0.388,16.6,6.4408
0.387,16.8,6.5016
0.385,16.9,6.5065
0.385,17.0,6.545
0.383,17.2,6.5876
0.382,17.3,6.6086
0.382,17.5,6.685
0.381,17.6,6.7056
0.38,17.7,6.726
0.379,17.9,6.7841
0.378,18.0,6.804
0.376,18.2,6.8432
0.376,18.3,6.8808
0.376,18.4,6.9184
0.374,18.6,6.9564
0.373,18.7,6.9751
0.371,18.9,7.0119
0.37,19.0,7.03
0.369,19.1,7.0479
0.368,19.3,7.1024
0.367,19.4,7.1198
0.365,19.6,7.154
0.364,19.7,7.1708
0.363,19.8,7.1874
0.361,20.0,7.22
0.36,20.1,7.236
0.358,20.3,7.2674
0.357,20.4,7.2828
0.356,20.5,7.298
0.354,20.7,7.3278
0.353,20.8,7.3424
0.0,21.0,0.0
